onboarded_month,user_login_month,count_user_login,auth_month,registration_status,primary_act_holder_member_id,transfer_amount,deposit_amount,deposit_count,transaction_amount,transfer_count
2021-12-19,2021-10-24,62,2021-06-07,activated,38,443.17,363.78,49,42.9,67
2021-03-28,2021-03-29,9,2021-09-04,onboarded,452,126.83,931.38,51,47.4,31
2021-12-16,2021-02-25,73,2021-11-18,onboarded,468,411.14,240.28,96,91.19,24
2021-02-02,2021-07-05,23,2021-03-10,onboarded,643,1018.22,1824.93,90,92.48,82
2021-01-01,2021-09-05,85,2021-01-18,onboarded,359,300.1,1123.84,23,6.23,38
2021-12-13,2021-12-17,30,2021-08-23,onboarded,583,1716.52,750.47,93,90.76,95
2021-12-21,2021-02-01,48,2021-07-23,pending,941,1017.71,1754.69,62,50.97,73
2021-04-18,2021-09-05,55,2021-02-21,onboarded,997,757.23,1937.37,42,89.32,81
2021-10-18,2021-01-10,99,2021-06-01,pending,167,327.76,551.46,68,4.17,88
2021-12-02,2021-04-22,13,2021-03-25,onboarded,107,186.24,403.88,46,32.61,32
2021-05-08,2021-04-28,19,2021-07-17,onboarded,569,940.26,211.16,99,32.34,45
2021-10-30,2021-02-14,55,2021-09-28,onboarded,937,1226.14,388.55,33,58.17,72
2021-09-18,2021-04-28,94,2021-03-30,activated,336,1984.5,494.86,78,30.86,39
2021-06-29,2021-01-25,62,2021-04-12,onboarded,70,410.96,1603.74,88,94.83,78
2021-04-26,2021-06-15,52,2021-09-05,onboarded,652,1747.99,1291.89,58,28.53,52
2021-01-04,2021-08-26,45,2021-06-27,onboarded,204,1888.29,1456.36,55,59.47,51
2021-05-07,2021-09-15,6,2021-08-21,onboarded,587,1545.3,1710.7,68,50.57,92
2021-03-10,2021-01-31,70,2021-03-24,pending,750,605.4,529.2,43,21.21,82
2021-07-11,2021-06-14,29,2021-02-15,onboarded,717,1555.48,95.79,57,50.39,66
2021-01-15,2021-05-25,83,2021-03-04,activated,311,1456.98,1179.72,78,3.81,8
2021-05-28,2021-05-29,3,2021-06-22,onboarded,888,1826.33,1383.82,27,76.75,52
2021-11-02,2021-05-03,89,2021-11-05,onboarded,997,627.52,451.29,40,39.6,14
2021-02-17,2021-01-17,49,2021-02-01,onboarded,648,1296.63,865.51,51,81.74,74
2021-10-16,2021-04-25,60,2021-08-29,activated,701,463.56,903.59,11,65.98,7
2021-10-18,2021-07-01,49,2021-12-23,activated,835,484.51,1047.83,21,87.83,80
2021-05-17,2021-05-23,24,2021-04-15,onboarded,715,119.4,1798.44,94,24.99,3
2021-01-10,2021-05-12,19,2021-11-07,pending,780,124.42,61.96,31,64.31,41
2021-12-24,2021-03-14,51,2021-11-28,activated,991,878.9,1374.79,30,35.91,28
2021-09-24,2021-10-01,70,2021-08-07,activated,627,329.97,1378.77,11,39.34,40
2021-05-05,2021-02-23,45,2021-05-28,pending,985,1261.78,744.82,40,13.88,26
2021-10-31,2021-05-16,51,2021-07-25,onboarded,700,1981.72,217.16,74,80.27,57
2021-05-04,2021-04-23,50,2021-10-13,pending,550,1417.71,244.73,5,50.29,11
2021-01-31,2021-01-10,24,2021-10-21,activated,271,1686.28,738.1,20,47.33,9
2021-10-07,2021-06-19,86,2021-07-02,onboarded,945,1862.65,1603.7,29,27.77,99
2021-10-07,2021-03-12,82,2021-04-15,onboarded,410,1346.82,134.75,49,17.83,36
2021-05-20,2021-06-15,50,2021-09-16,onboarded,751,1277.96,1481.34,26,16.42,92
2021-04-13,2021-12-03,50,2021-10-25,pending,691,1626.27,1512.46,48,93.32,92
2021-07-14,2021-03-17,33,2021-10-21,onboarded,785,748.32,1727.38,27,68.71,14
2021-02-20,2021-10-17,94,2021-09-01,activated,324,929.79,1059.68,30,85.83,29
2021-03-06,2021-09-28,95,2021-06-24,onboarded,276,679.6,782.85,80,17.51,62
2021-02-06,2021-09-29,78,2021-01-28,onboarded,52,386.31,1388.86,78,53.81,69
2021-02-11,2021-07-02,26,2021-08-26,activated,117,1633.25,717.2,62,47.85,43
2021-07-13,2021-07-18,79,2021-01-25,onboarded,818,616.89,637.54,77,20.8,73
2021-02-20,2021-12-06,17,2021-08-15,onboarded,161,92.28,834.83,20,56.63,41
2021-12-04,2021-03-08,99,2021-03-26,onboarded,183,1444.73,1600.39,44,75.72,82
2021-04-13,2021-07-17,5,2021-09-08,onboarded,472,1403.7,740.8,95,44.44,55
2021-07-12,2021-12-03,73,2021-01-05,pending,342,1146.21,1736.63,58,57.9,54
2021-12-24,2021-09-26,96,2021-04-08,activated,175,235.58,1552.21,10,43.71,94
2021-03-28,2021-01-17,82,2021-01-24,onboarded,768,1437.9,1126.2,32,99.17,88
2021-06-20,2021-01-23,82,2021-01-12,onboarded,288,422,1372.77,14,48.47,21
2021-06-10,2021-10-12,91,2021-04-28,activated,95,985.67,330.29,53,39.75,68
2021-08-30,2021-02-02,54,2021-03-30,activated,552,1520.58,1758.89,6,90.35,75
2021-12-30,2021-12-10,37,2021-08-22,onboarded,339,761.92,1244.25,20,81.76,53
2021-03-09,2021-09-19,26,2021-03-29,onboarded,451,1859.8,467.62,98,15.27,43
2021-03-14,2021-04-20,53,2021-02-08,onboarded,219,1323.25,1737.34,72,10.18,96
2021-07-07,2021-03-04,2,2021-08-27,onboarded,240,1982.3,250.9,30,13.54,12
2021-09-23,2021-12-25,24,2021-10-29,pending,764,1025.39,972.97,1,22.53,52
2021-08-06,2021-11-01,71,2021-04-23,onboarded,511,79.41,716.92,9,25.31,89
2021-05-30,2021-02-26,90,2021-01-10,onboarded,123,551.3,1357.65,33,6.23,73
2021-08-01,2021-12-15,8,2021-07-11,activated,268,1016.12,455.63,62,95.31,4
2021-02-21,2021-10-18,75,2021-05-15,onboarded,832,1043.73,571.11,75,49.68,25
2021-12-19,2021-06-04,48,2021-05-19,onboarded,639,1251.88,789.39,41,60.42,13
2021-11-19,2021-05-23,14,2021-11-14,onboarded,503,1731.69,1676.1,18,91.32,4
2021-10-15,2021-05-06,90,2021-06-13,onboarded,638,1405.84,367.75,85,41.32,77
2021-08-29,2021-07-27,17,2021-04-27,onboarded,504,965.18,1001.91,19,77.74,64
2021-01-28,2021-03-28,86,2021-08-11,onboarded,792,361.14,961.4,50,2.74,85
2021-06-28,2021-10-18,45,2021-09-03,onboarded,928,541.51,1194.52,30,65.49,99
2021-08-20,2021-10-07,61,2021-04-01,activated,245,1642.55,612.29,40,16.37,75
2021-09-07,2021-09-23,41,2021-12-10,activated,665,37.23,1369.52,87,96.22,49
2021-11-18,2021-01-21,19,2021-12-17,activated,559,1695.8,991.12,85,13.69,40
2021-01-24,2021-12-15,48,2021-02-21,onboarded,527,905.62,71.93,38,55.1,79
2021-06-14,2021-04-18,48,2021-10-10,onboarded,317,851.98,220.71,49,10.46,74
2021-08-12,2021-03-03,44,2021-03-16,onboarded,731,60.47,1425.97,66,56.37,55
2021-09-24,2021-11-24,48,2021-06-22,onboarded,697,301.47,1261.86,20,80.44,66
2021-06-21,2021-02-03,2,2021-09-19,activated,906,1274.5,989.12,34,56.21,98
2021-10-17,2021-09-30,44,2021-06-23,onboarded,562,288.94,846.31,2,80.91,89
2021-06-30,2021-03-05,72,2021-12-04,onboarded,920,1387.5,81.48,47,69.26,86
2021-09-26,2021-03-13,92,2021-06-11,onboarded,521,1952.82,182.34,65,62.7,8
2021-03-09,2021-05-30,6,2021-07-08,pending,814,898.59,974.4,96,32.18,70
2021-12-16,2021-09-20,9,2021-08-16,onboarded,107,1394.74,646.43,72,61.43,41
2021-08-10,2021-01-17,98,2021-09-29,onboarded,711,684.73,954.17,63,80.96,12
2021-06-02,2021-11-26,96,2021-01-19,activated,312,1304.89,1867.14,63,83.27,81
2021-12-24,2021-08-06,7,2021-01-22,activated,351,1000.43,214.4,49,6.17,81
2021-05-08,2021-03-25,29,2021-01-04,activated,822,1842,301.67,22,66,82
2021-09-03,2021-10-09,49,2021-04-21,onboarded,878,1321.47,1717.54,26,93.57,29
2021-04-26,2021-01-15,75,2021-08-10,activated,27,695.4,1743.7,65,34.11,8
2021-03-16,2021-06-11,94,2021-06-18,activated,986,1783.5,293,30,8.44,51
2021-11-25,2021-12-14,49,2021-01-02,activated,638,433.24,1568.56,47,97.7,59
2021-07-22,2021-02-17,63,2021-04-14,activated,297,921.33,1762.1,37,8.46,63
2021-02-13,2021-09-28,55,2021-03-07,onboarded,943,34.3,719.52,83,11.7,29
2021-11-03,2021-05-26,31,2021-11-17,onboarded,844,1378.19,1649.34,93,2.8,94
2021-10-29,2021-11-10,4,2021-05-08,onboarded,645,1829.39,1256.72,78,42.87,33
2021-08-02,2021-12-12,71,2021-11-19,onboarded,580,1383.85,212.5,66,1.29,22
2021-02-17,2021-07-26,72,2021-01-22,pending,39,1018.15,211.33,15,46.5,32
2021-04-16,2021-09-17,5,2021-10-05,pending,260,1492.7,895.4,33,2.87,26
2021-12-03,2021-12-02,93,2021-07-03,activated,155,1731.6,937.45,4,33.34,38
2021-04-18,2021-12-11,96,2021-01-27,pending,765,532.29,132.97,5,80.11,98
2021-07-18,2021-03-04,33,2021-12-18,onboarded,497,1268.59,180.5,81,70.31,91
2021-10-21,2021-12-08,63,2021-12-29,onboarded,89,1660,44.38,32,89.26,57
2021-03-09,2021-03-05,50,2021-11-19,pending,191,1708.21,479.99,21,11.81,94
2021-01-03,2021-09-12,63,2021-09-18,onboarded,295,805,1728.48,54,71.87,84
2021-06-17,2021-01-07,90,2021-02-28,activated,970,199.7,1202.29,94,38.58,73
2021-12-26,2021-09-17,95,2021-07-12,onboarded,327,1112.37,1609.82,75,19.98,17
2021-05-24,2021-09-01,87,2021-01-28,onboarded,514,975.38,1888.5,21,60.77,46
2021-01-17,2021-04-08,89,2021-09-15,onboarded,376,375.9,654.7,32,10.41,51
2021-05-18,2021-04-23,82,2021-04-15,activated,192,1243.61,1946.76,74,16.32,71
2021-06-09,2021-11-05,14,2021-05-09,onboarded,803,1029.95,1519.57,25,96.71,87
2021-06-21,2021-12-29,92,2021-11-27,onboarded,405,1003.98,1684.79,70,8.33,72
2021-05-01,2021-09-22,73,2021-11-11,onboarded,771,1884.8,1520.76,44,44.4,55
2021-03-19,2021-12-11,47,2021-02-10,onboarded,142,1326.83,519.63,20,17.54,15
2021-01-10,2021-02-10,20,2021-01-15,activated,840,1397.51,1684.79,83,56.47,63
2021-03-07,2021-02-20,36,2021-04-15,activated,247,1380.26,1576.79,34,83.49,85
2021-12-17,2021-06-01,52,2021-02-17,activated,211,1770.25,510.52,79,1.17,22
2021-05-23,2021-07-11,31,2021-02-16,onboarded,78,499.94,1405.67,28,90.42,9
2021-01-06,2021-04-22,49,2021-01-04,activated,797,253.99,1049.35,23,24.52,22
2021-06-21,2021-02-06,4,2021-05-31,activated,429,79.2,1658.81,3,76.66,79
2021-01-07,2021-02-17,48,2021-02-16,onboarded,224,864.94,1653.4,41,94.99,15
2021-05-01,2021-06-03,30,2021-11-01,onboarded,993,1037.22,510.87,19,19.94,99
2021-10-05,2021-05-23,43,2021-11-18,onboarded,408,1252.91,1624.27,58,68.3,76
2021-06-20,2021-12-15,21,2021-02-13,onboarded,42,65.2,1340.58,86,63.89,50
2021-02-12,2021-02-10,45,2021-03-24,onboarded,72,1894.28,1877.39,5,21.69,41
2021-11-30,2021-07-05,42,2021-04-24,onboarded,777,222.88,456.78,35,53.14,62
2021-06-18,2021-02-28,26,2021-04-30,onboarded,963,1712.28,995.55,10,9.32,36
2021-11-07,2021-08-16,84,2021-05-25,onboarded,460,1793.17,798.47,24,17.86,33
2021-07-17,2021-03-06,6,2021-12-14,onboarded,137,1257.73,1397.97,93,3.39,25
2021-03-24,2021-07-30,38,2021-02-16,activated,363,71.29,881.25,70,56.75,25
2021-08-23,2021-06-03,35,2021-03-28,activated,191,158.68,285.92,32,97.69,87
2021-01-04,2021-04-09,30,2021-11-09,activated,335,717.58,776.35,14,69.45,14
2021-10-12,2021-08-06,16,2021-08-01,onboarded,650,195.41,322.64,15,25.66,17
2021-09-07,2021-07-05,26,2021-01-04,onboarded,501,522.63,1205.51,94,11.66,80
2021-10-22,2021-10-22,73,2021-12-21,onboarded,64,1913.25,1468.71,63,6.4,49
2021-06-08,2021-01-18,24,2021-11-13,onboarded,974,404.55,1770.27,92,51.96,97
2021-09-18,2021-12-15,94,2021-06-07,onboarded,531,650.1,1150.41,91,86.68,38
2021-03-16,2021-03-26,57,2021-11-23,onboarded,238,705.93,1079.54,67,53.7,92
2021-06-24,2021-02-08,36,2021-03-14,onboarded,589,1521.29,1507.3,97,55.37,39
2021-04-27,2021-10-10,63,2021-08-03,activated,267,1158.67,585.82,52,12.53,48
2021-02-18,2021-11-01,23,2021-07-31,onboarded,392,1243.14,55.57,6,97.69,85
2021-04-16,2021-12-14,14,2021-12-26,activated,659,588.51,867.85,69,36.63,6
2021-11-25,2021-05-01,20,2021-12-27,activated,115,768.51,1710.84,15,95.6,76
2021-01-05,2021-09-30,96,2021-03-13,onboarded,667,1380.55,684.8,32,40.2,62
2021-07-22,2021-04-02,72,2021-11-06,activated,691,1838.94,1588.46,79,86.24,66
2021-07-18,2021-08-04,38,2021-03-23,onboarded,930,1398.93,815.97,16,84.29,80
2021-04-24,2021-11-03,25,2021-07-05,onboarded,209,692.51,1011.67,78,51.51,73
2021-11-22,2021-06-24,73,2021-06-21,onboarded,193,413.42,794.68,22,73.42,43
2021-05-26,2021-04-17,31,2021-01-31,activated,408,1745.84,675.75,100,66.8,94
2021-03-03,2021-02-24,25,2021-06-10,onboarded,808,394.57,1676,20,83.65,43
2021-01-02,2021-08-18,36,2021-03-30,onboarded,46,1767.87,1709,100,30.96,54
2021-03-14,2021-09-29,77,2021-05-12,onboarded,924,433.98,1002.85,47,39.12,97
2021-12-15,2021-07-10,86,2021-01-14,onboarded,970,1012.71,1783.75,73,89.99,78
2021-05-21,2021-01-22,46,2021-09-17,onboarded,834,687.75,1731.23,44,24.4,68
2021-02-13,2021-11-08,36,2021-08-20,activated,177,733.57,1930.77,25,26.5,73
2021-04-18,2021-10-14,28,2021-12-03,activated,74,1471.19,1217.22,91,55.49,18
2021-01-06,2021-03-28,77,2021-11-10,onboarded,431,898.3,1345,37,25.57,76
2021-03-30,2021-06-11,70,2021-07-08,onboarded,339,1670.5,980.73,87,81.38,85
2021-10-16,2021-10-30,47,2021-03-09,onboarded,236,268.5,1428.5,75,84.56,56
2021-12-09,2021-09-07,17,2021-02-22,onboarded,680,787.27,38.96,31,38.38,75
2021-03-27,2021-05-04,96,2021-02-13,activated,991,393.34,1766.63,82,46.17,17
2021-10-20,2021-07-26,81,2021-04-12,activated,210,1827.58,1301.81,76,65.6,74
2021-04-17,2021-03-14,7,2021-09-15,pending,488,755.89,337.9,84,92.33,73
2021-04-05,2021-03-24,7,2021-10-29,activated,601,980.56,1604.71,3,56.25,82
2021-05-02,2021-01-03,89,2021-08-30,onboarded,383,357.67,1007.36,70,44.69,36
2021-03-21,2021-07-28,37,2021-01-26,activated,643,897.2,636.8,97,76.36,98
2021-02-15,2021-07-20,43,2021-12-06,onboarded,74,1222.67,900.67,56,41.2,55
2021-09-04,2021-01-02,44,2021-07-19,onboarded,769,238.79,1281.9,97,57.51,51
2021-01-13,2021-07-20,18,2021-05-25,onboarded,312,1625.77,1849.23,73,18.51,28
2021-02-22,2021-10-04,79,2021-06-30,activated,170,607.99,899.16,73,64.19,42
2021-01-29,2021-03-21,4,2021-09-09,activated,245,525.2,891.72,65,76.93,39
2021-08-17,2021-05-06,95,2021-03-30,onboarded,900,1909.93,461.1,50,62.88,61
2021-09-26,2021-04-07,64,2021-06-17,activated,853,826.26,102.72,76,40.5,97
2021-04-07,2021-09-13,89,2021-11-12,onboarded,873,205.51,432.11,68,27.15,70
2021-03-20,2021-05-05,55,2021-07-20,pending,641,204.8,1299.26,57,56.46,21
2021-06-20,2021-02-27,25,2021-07-30,onboarded,311,881.34,371.33,82,39.79,66
2021-06-02,2021-02-16,91,2021-07-25,onboarded,795,833.86,1970.8,63,92.27,6
2021-04-24,2021-09-12,11,2021-04-28,activated,180,1465.58,1132.81,14,90.4,6
2021-08-06,2021-04-05,30,2021-09-14,onboarded,486,1106.68,664.54,21,95.85,36
2021-05-29,2021-02-10,88,2021-09-05,activated,978,1205.2,1017.4,72,42.19,92
2021-03-18,2021-07-11,62,2021-05-16,activated,176,720.3,1039.8,13,9.54,34
2021-05-31,2021-02-02,35,2021-07-25,onboarded,910,315.34,191.64,94,18.87,39
2021-03-21,2021-11-23,45,2021-03-14,onboarded,172,734.2,1974.53,58,47.3,71
2021-06-03,2021-08-20,80,2021-03-06,onboarded,828,1026.79,51.85,54,14.47,82
2021-01-14,2021-03-31,4,2021-06-30,onboarded,225,916.43,1892.68,2,40.57,28
2021-04-21,2021-08-27,11,2021-06-28,activated,713,366.7,488.54,89,36.95,45
2021-03-02,2021-04-03,56,2021-12-04,onboarded,870,848.27,557.83,12,24.91,65
2021-01-17,2021-12-04,46,2021-10-22,activated,236,562.78,1197.12,21,65.52,42
2021-05-07,2021-03-19,14,2021-01-12,onboarded,154,780.99,1211.12,56,21.88,84
2021-09-27,2021-09-28,74,2021-03-30,onboarded,960,716.15,75.99,69,29.96,5
2021-10-21,2021-05-08,22,2021-08-29,pending,56,491.49,347.56,2,48.43,44
2021-11-10,2021-01-15,92,2021-05-29,onboarded,368,699.78,1987.66,90,10.17,33
2021-12-19,2021-11-21,97,2021-06-17,onboarded,570,1383.19,1060.63,33,59.24,58
2021-12-12,2021-08-23,38,2021-03-01,onboarded,165,1459.6,253.42,79,97.18,45
2021-09-07,2021-05-19,29,2021-10-04,activated,691,896.83,1857.94,71,38.5,41
2021-04-30,2021-02-11,78,2021-01-22,onboarded,820,1240.81,63.45,12,44.21,74
2021-01-01,2021-02-25,86,2021-12-28,onboarded,109,1998.57,1808.81,46,81.39,41
2021-05-25,2021-10-11,12,2021-04-02,activated,626,670.5,1055.59,43,79.55,40
2021-11-06,2021-10-09,34,2021-05-22,onboarded,346,372.25,1378.31,71,48.39,87
2021-07-22,2021-12-23,89,2021-06-21,onboarded,403,646.14,1877.7,86,83.88,52
2021-12-26,2021-11-14,34,2021-03-25,activated,769,1536.31,954.41,97,36.57,71
2021-08-03,2021-07-06,29,2021-11-25,activated,373,100.13,760.45,56,80.69,13
2021-06-18,2021-12-23,26,2021-02-14,onboarded,870,534.4,1644.57,87,42.19,24
2021-07-24,2021-07-24,7,2021-01-05,activated,314,467.65,1540.38,61,29.33,70
2021-01-28,2021-02-09,67,2021-10-25,onboarded,880,1191.94,221.55,53,31.19,7
2021-08-09,2021-09-25,63,2021-11-28,onboarded,140,264.65,1879.75,31,40.64,16
2021-04-21,2021-02-17,26,2021-08-21,activated,906,969.75,1616.95,53,94.64,38
2021-10-29,2021-05-05,57,2021-09-10,activated,267,1379.96,1291.97,10,73.61,36
2021-09-06,2021-09-25,60,2021-02-03,onboarded,682,30.59,609.42,9,60.89,6
2021-01-10,2021-01-13,80,2021-12-11,onboarded,862,1422.91,434.1,91,69.86,46
2021-06-27,2021-01-03,58,2021-08-16,onboarded,740,774.35,778.65,43,55.37,61
2021-09-04,2021-10-28,8,2021-04-16,onboarded,409,212.72,1731.12,72,52.3,12
2021-03-05,2021-09-06,14,2021-12-27,onboarded,676,1872.1,1528.81,81,16.69,97
2021-11-25,2021-02-24,24,2021-11-15,onboarded,924,1592.75,705.89,13,19.74,63
2021-06-09,2021-07-18,100,2021-12-15,onboarded,797,174.38,1661.59,69,90.46,80
2021-02-23,2021-10-27,88,2021-03-26,onboarded,849,1313.1,8.58,14,14.92,37
2021-07-18,2021-01-20,60,2021-07-24,pending,486,577.47,1942.5,54,4.58,4
2021-09-23,2021-02-08,73,2021-12-21,onboarded,472,1398.5,744.33,65,23.96,81
2021-10-04,2021-01-30,90,2021-11-23,pending,912,698.3,1969.8,54,62.51,68
2021-04-11,2021-05-08,44,2021-09-18,onboarded,637,1157.34,1364.54,10,54.81,57
2021-05-31,2021-11-04,27,2021-11-10,onboarded,754,529.9,1372.46,47,1.38,51
2021-10-03,2021-06-11,35,2021-07-07,activated,554,1139.75,519.66,100,96.41,5
2021-09-26,2021-02-09,100,2021-08-27,activated,837,662.7,1855.3,30,16.33,90
2021-04-28,2021-02-27,45,2021-06-01,activated,871,1536.62,602.68,60,30.75,86
2021-11-29,2021-06-27,59,2021-02-15,pending,828,881.36,386.58,67,81.97,86
2021-11-24,2021-08-07,59,2021-11-26,activated,98,1379.43,1447.6,23,18.73,80
2021-01-30,2021-05-30,76,2021-01-31,onboarded,960,1669.36,42.6,83,83.47,41
2021-02-20,2021-12-15,43,2021-02-25,onboarded,116,993.36,1985.58,65,81.62,27
2021-05-18,2021-06-02,80,2021-11-27,pending,175,1811.43,1450.95,32,12.77,97
2021-07-05,2021-09-16,27,2021-08-08,onboarded,713,1871.73,1400.2,34,88.87,41
2021-12-07,2021-05-29,23,2021-12-18,activated,523,1558.28,1349.43,55,90.92,3
2021-01-17,2021-07-02,82,2021-08-28,onboarded,143,1812.93,505.34,43,13.37,65
2021-11-10,2021-09-18,69,2021-10-23,onboarded,351,1000.78,356.95,3,25.6,41
2021-10-14,2021-02-05,87,2021-11-15,activated,208,292.9,413.55,11,53.45,1
2021-06-22,2021-04-06,18,2021-12-22,pending,96,1605.58,1737.68,42,34.94,61
2021-09-07,2021-01-20,55,2021-06-27,onboarded,914,1757.3,407.3,31,63,62
2021-06-19,2021-01-18,18,2021-08-05,activated,476,674.83,1197.69,21,60.4,27
2021-01-03,2021-01-25,34,2021-02-13,onboarded,424,442.17,548.25,18,74.26,32
2021-10-27,2021-06-26,82,2021-08-05,activated,249,817.75,1330.71,45,50.52,82
2021-03-09,2021-11-26,13,2021-06-12,onboarded,660,297.84,620.55,36,54.3,2
2021-06-06,2021-09-05,2,2021-09-11,activated,311,1563.52,1977.29,55,53.2,33
2021-04-10,2021-02-21,30,2021-01-14,onboarded,118,754.76,1537.62,60,52.36,46
2021-03-05,2021-07-06,30,2021-08-13,onboarded,450,1994.9,1643.2,80,12.27,40
2021-04-01,2021-09-12,30,2021-09-20,onboarded,490,1192.56,1510.82,25,79.51,79
2021-06-22,2021-11-24,68,2021-11-04,onboarded,333,1538.9,1637.64,56,43.66,30
2021-06-01,2021-12-26,16,2021-03-08,pending,43,955.27,564.15,15,14.6,40
2021-03-09,2021-02-28,72,2021-04-29,onboarded,738,889.49,1881.2,77,91.13,57
2021-07-16,2021-03-05,50,2021-12-10,activated,447,237.2,1086.73,73,7.84,57
2021-06-10,2021-07-04,9,2021-03-30,onboarded,403,1832.82,192.77,2,92.61,17
2021-12-02,2021-06-25,13,2021-08-09,onboarded,928,476.65,1688.86,78,47,87
2021-01-27,2021-05-20,69,2021-12-14,onboarded,695,609.9,417.68,99,96.27,17
2021-11-09,2021-01-31,87,2021-11-26,onboarded,27,1747.64,1911.95,29,63.54,36
2021-06-14,2021-09-07,75,2021-05-12,onboarded,630,1101.24,10.66,95,87.78,41
2021-09-03,2021-06-12,9,2021-10-10,activated,104,905.6,879.36,10,23.17,10
2021-04-23,2021-11-09,59,2021-05-27,onboarded,459,530.81,1446.38,37,68.94,58
2021-08-05,2021-04-13,57,2021-01-19,onboarded,621,611.92,810.53,65,16.22,5
2021-08-06,2021-07-16,99,2021-01-11,onboarded,954,153.98,1745.22,92,21.77,42
2021-04-29,2021-12-16,35,2021-03-17,onboarded,796,319.8,46.7,38,99.11,75
2021-03-07,2021-10-07,81,2021-01-12,onboarded,323,294.45,1226.49,69,42.91,80
2021-10-27,2021-02-13,28,2021-11-13,pending,331,616.71,225.56,31,80.87,35
2021-01-07,2021-04-11,46,2021-08-14,activated,883,1877.1,374.52,45,15.34,28
2021-03-05,2021-10-17,16,2021-11-04,onboarded,206,1773.13,1079.9,14,6.73,24
2021-04-03,2021-10-09,9,2021-05-15,onboarded,221,229.73,621.89,85,93.22,24
2021-12-27,2021-07-20,71,2021-04-02,onboarded,659,1070.6,171.72,68,59.71,46
2021-12-11,2021-05-03,96,2021-10-13,onboarded,706,1572.41,423.86,44,72.15,40
2021-03-07,2021-08-04,61,2021-08-26,activated,102,121.44,1670.41,78,31.18,18
2021-12-05,2021-07-16,55,2021-05-27,activated,415,1551.17,1679.19,1,45.47,20
2021-08-22,2021-11-25,72,2021-11-06,activated,435,572.15,681.89,94,91.28,66
2021-09-16,2021-12-10,25,2021-10-02,activated,757,501.11,237.61,72,74.13,28
2021-08-24,2021-08-26,53,2021-07-13,onboarded,801,824.3,989.88,21,91.5,52
2021-11-13,2021-01-28,7,2021-03-04,activated,23,1801.15,1785.95,52,49.98,23
2021-12-14,2021-09-06,88,2021-03-28,onboarded,952,342.47,300.16,56,33.91,74
2021-10-30,2021-02-03,49,2021-09-16,activated,817,1176.53,183.26,16,23.18,83
2021-04-22,2021-02-22,55,2021-10-14,onboarded,265,758.88,1347.91,87,31.8,57
2021-04-02,2021-12-11,3,2021-05-13,onboarded,530,693.19,18.3,21,9.23,63
2021-08-27,2021-01-23,32,2021-06-26,pending,371,1780.2,1646.18,36,99.46,50
2021-02-01,2021-07-13,40,2021-03-13,onboarded,876,1130.37,655.42,45,89.95,30
2021-12-15,2021-06-12,48,2021-09-18,onboarded,273,10.43,1971.33,88,75.71,72
2021-01-08,2021-08-28,37,2021-08-29,onboarded,412,430.36,600.14,40,51.46,13
2021-04-14,2021-12-25,11,2021-03-02,onboarded,532,821.51,315.18,46,60.94,60
2021-03-16,2021-04-27,6,2021-04-14,onboarded,482,1346.7,1231.97,77,90.29,71
2021-09-26,2021-02-14,19,2021-09-21,onboarded,273,811.75,1067.84,60,80.79,19
2021-04-20,2021-04-05,51,2021-10-22,activated,796,364.2,1511.23,49,2.12,67
2021-09-18,2021-12-22,15,2021-02-23,onboarded,502,969.45,121.5,91,5.28,70
2021-09-12,2021-08-28,48,2021-04-29,pending,32,1671.51,1323.35,69,73.14,52
2021-05-21,2021-03-19,73,2021-05-27,onboarded,923,1702.33,1444.15,87,91.8,52
2021-01-08,2021-03-28,72,2021-08-07,onboarded,830,1243.4,1054.24,72,7.69,19
2021-05-21,2021-04-03,93,2021-08-12,onboarded,153,1628.15,1246.79,70,1.1,52
2021-01-04,2021-03-29,6,2021-03-22,onboarded,4,1742.32,794.52,16,19.22,5
2021-02-27,2021-03-04,22,2021-07-09,onboarded,464,1255.46,1924.63,67,19,85
2021-10-19,2021-04-10,86,2021-07-31,onboarded,234,633.43,1013.58,37,45.62,84
2021-12-29,2021-07-18,24,2021-03-23,activated,62,1219.28,438.71,76,56.74,16
2021-10-25,2021-04-30,72,2021-05-30,activated,110,484,1360.77,74,53.5,11
2021-10-22,2021-03-11,65,2021-01-29,onboarded,280,1448.1,1218.12,97,31.43,78
2021-10-28,2021-06-22,91,2021-10-19,activated,149,1115.79,803.7,54,51.85,50
2021-11-10,2021-08-19,50,2021-01-10,onboarded,547,1767.63,1441.64,1,52.45,70
2021-08-03,2021-08-01,25,2021-05-19,onboarded,474,945.5,1919.93,3,12.8,18
2021-06-28,2021-02-21,93,2021-01-12,activated,655,1708.84,1863.96,33,43.29,59
2021-05-27,2021-06-27,91,2021-03-03,onboarded,58,232.89,852.25,55,26.22,41
2021-02-08,2021-03-24,64,2021-11-26,onboarded,574,123.34,698.91,73,22.63,76
2021-07-01,2021-05-25,96,2021-12-05,onboarded,236,1643.14,1571.75,7,43.13,87
2021-07-03,2021-11-19,7,2021-04-09,pending,32,128.8,1958.6,11,55.19,54
2021-06-29,2021-08-17,15,2021-03-27,onboarded,660,205.4,1894.38,76,94.97,69
2021-01-23,2021-01-16,93,2021-06-12,activated,826,12.11,631.62,64,88.2,29
2021-05-16,2021-05-30,6,2021-07-24,onboarded,342,1504.98,710,65,29.74,10
